street_number,actual_street_name,Suburb,lprice_diff,lrents_diff,lgroundrents_diff,d_1895,d_1896,d_1897,d_1898,d_1899,d_1900,d_1901,d_1902,d_1903,d_1904,d_1905,d_1906,d_1907,d_1908,d_1909,d_1910,d_1911,d_1912,d_1913,d_1914
1,DORNTON ROAD,BALHAM,0.336472237,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,DEVONS ROAD,BROMLEY-BY-BOW,0.15415068,0.338073518,,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,CAMBERWELL ROAD,CAMBERWELL,-0.045462374,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,CAMBRIDGE STREET,PIMLICO,-0.051293294,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,MORTIMER ROAD,DE BEAUVOIR TOWN,0.057158414,,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,GOLD STREET,STEPNEY,0.500775288,0.046520016,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,LOWER RANELAGH GROVE,PIMLICO,0.202940844,-1.696449289,-1.011600912,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,LORRIMORE ROAD,WALWORTH,-0.028987537,0.064538521,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,CAMBRIDGE ROAD,BETHNAL GREEN,0.021978907,0.182321557,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,CAMBRIDGE ROAD,BETHNAL GREEN,0.009756175,0,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,CAMBRIDGE ROAD,BETHNAL GREEN,0.128832872,-0.375906306,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,ASPENLEA ROAD,FULHAM,0.318453731,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,DAWLISH ROAD,TOTTENHAM,0.356674944,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,CARTER STREET,WALWORTH,0.028987537,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,PENGE ROAD,NORWOOD,0.619039208,,0,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,MILDMAY PARK,STOKE NEWINGTON,0.391562203,0.292136423,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,SOUTHAMPTON STREET,CAMBERWELL,0.657215171,0.662375522,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,LEYTON ROAD,STRATFORD,0.098440073,0.061875404,,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,JUNCTION ROAD,HOLLOWAY,0.32668423,0.09531018,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DUMONT ROAD,STOKE NEWINGTON,0.287682073,0.169899037,,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,COMMERCE ROAD,WOOD GREEN,0.108213585,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,DUMONT ROAD,STOKE NEWINGTON,0.093526058,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,WOODFIELD ROAD,PADDINGTON,0.236388778,0.054067221,,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,WAKEFIELD ROAD,TOTTENHAM,-0.053109825,0.143100844,,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,FAIRHOLT ROAD,STOKE NEWINGTON,0.216807733,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,FERRIER STREET,WANDSWORTH,-0.202940844,-0.223143551,,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HOUGHTON STREET,STRAND,,0,,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,GIPSY HILL,NORWOOD,-0.072320662,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,QUEEN ADELAIDE ROAD,PENGE,0.110000895,0,,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,ULYSSES ROAD,HAMPSTEAD,0,0.182321557,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,NEW NORTH ROAD,HOXTON,-0.051293294,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,SOUTHGATE ROAD,DE BEAUVOIR TOWN,0.159630146,-0.048790164,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,BRUNSWICK ROAD,POPLAR,0.178248231,0.048790164,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,SYDENHAM PARK,SYDENHAM,0.510825624,,,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,BISHOPSGATE STREET,CITY,0.064538521,,,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,CHARLOTTE STREET,MARYLEBONE,1.648658626,,,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,ANTILL ROAD,BOW,0.494018505,,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,LADBROKE GROVE,NOTTING HILL,0.223143551,,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WILTON CRESCENT,BELGRAVIA,,,,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,MERRICK SQUARE,SOUTHWARK,-0.127833372,,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,ST. PAUL STREET,ISLINGTON,-0.141830195,0.057158414,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,CORNWALL ROAD,WESTBOURNE PARK,-0.082521024,-0.064538521,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,LAMBOURNE ROAD,CLAPHAM,0.449916871,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,FOURNIER STREET,SPITALFIELDS,0.538996501,,,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,SUTHERLAND PLACE,BAYSWATER,0.3254224,-0.058268908,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
112,ST. PAUL'S ROAD,CANONBURY,0.096626836,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,FOURNIER STREET,SPITALFIELDS,0.496436886,,,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,OXFORD TERRACE,ISLINGTON,0.189620859,0.304923879,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,WILLOUGHBY LANE,TOTTENHAM,0.099090903,0.018018506,,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,LEYBOURNE ROAD,CAMDEN TOWN,-0.1997133,0.033901552,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,PORTLAND PLACE,MARYLEBONE,1.203972804,,,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,ROTHERHITHE STREET,ROTHERHITHE,-0.032789823,,,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
54,WOODBINE GROVE,PENGE,0.074107972,0.087011377,,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,MARLBOROUGH ROAD,HOLLOWAY,-0.028170877,-0.100083459,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,ALFRED STREET,ISLINGTON,-0.09237332,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
87,GROVE PARK ROAD,TOTTENHAM,0.033901552,0.087011377,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,SHEPPERTON ROAD,HOXTON,-0.322398509,-0.223143551,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,HOLFORD SQUARE,PENTONVILLE,-0.253780521,0.056089467,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,SALUSBURY ROAD,KILBURN,0,0.248461359,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,PARK HILL,CLAPHAM,-0.310154928,,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
