street_number,actual_street_name,Suburb,Borough,County,london_region,region,year,tenure_type,leasehold_unexpired_term,value,ground_rent_inpounds,rent_yearly_inpounds,years_purchase
533,OLD KENT ROAD,,,,OTHER,Non London,1898,LEASEHOLD,5,35,7,34,1.029411765
68,AVENUE ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1895,FREEHOLD,999,340,,38,8.947368421
12,BURLINGTON GARDENS,ACTON,Ealing,Greater London,OUTER,Greater London,1895,LEASEHOLD,81,220,9,32,6.875
13,MILL HILL ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1895,FREEHOLD,999,1300,,70,18.57142857
74,MILL HILL ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1895,FREEHOLD,999,420,,30,14
17,WOODHURST ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1895,FREEHOLD,999,445,,35,12.71428571
35,CHURCH ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1896,FREEHOLD,999,615,,30,20.5
14,HEATHFIELD ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1896,LEASEHOLD,80,450,10.5,60,7.5
5,OLDHAM TERRACE,ACTON,Ealing,Greater London,OUTER,Greater London,1896,FREEHOLD,999,108,,13,8.307692308
12,ANTROBUS ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1897,FREEHOLD,999,290,,23.4,12.39316239
22,BIRKBECK ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1897,FREEHOLD,999,540,,45,12
46,BURLINGTON GARDENS,ACTON,Ealing,Greater London,OUTER,Greater London,1897,LEASEHOLD,70,300,8,40,7.5
1,ESSEX ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1898,LEASEHOLD,70,940,12,,
1,OLDFIELD TERRACE,ACTON,Ealing,Greater London,OUTER,Greater London,1898,LEASEHOLD,79,405,10,38,10.65789474
27,ALFRED ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1899,LEASEHOLD,77,320,9,38,8.421052632
17,AVENUE ROAD,ACTON,Ealing,Greater London,OUTER,Greater London,1899,LEASEHOLD,81,285,9,30,9.5
32,BIRKBECK AVENUE,ACTON,Ealing,Greater London,OUTER,Greater London,1899,LEASEHOLD,82,300,6.3,30,10
